"Central";"Medidor";"Inicio_Falla";"Fin_Normalizado";"Estado";"Observaciones"
"BRAGADO II";"BRA2M21P";"20/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO II";"BRA2M22P";"18/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO II";"BRA2S23C";"18/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO II";"BRA2S23P";"18/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO III";"BRA3M21P";"18/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO III";"BRA3M22P";"20/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO III";"BRA3S23C";"18/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"BRAGADO III";"BRA3S23P";"18/03/2026";"31/03/2026";"Cerrado";"Reiniciaron los conversores, sacando la alimentación, pero no funcionó"
"Anchoris ll";"PSANM71C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Anchoris ll";"PSANM71P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Anchoris lV";"PSANM72C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Anchoris lV";"PSANM72P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte I";"CHN1M61C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte I";"CHN1M61P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte I";"CHN1M62C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte I";"CHN1M62P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte II";"CHN2M61C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte II";"CHN2M61P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte II";"CHN2M62C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte II";"CHN2M62P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte III";"CHN3M61C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte III";"CHN3M61P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte III";"CHN3M62C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte III";"CHN3M62P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte III";"CHN3M63C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte III";"CHN3M63P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M61C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M61P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M62C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M62P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M63C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M63P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M64C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Chubut Norte IV";"CHN4M64P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Cruz Alta";"PLPNC23P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Cruz Alta";"PLPNC26P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Cruz Alta";"PLPNM22C";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
"Cruz Alta";"PLPNM22P";"25/03/2026";"27/03/2026";"Cerrado";"Sin lectura de medidores. ESG sin Internet por mantenimiento de ISP"
