"Central";"Medidor";"Inicio_Falla";"Fin_Normalizado";"Estado";"Observaciones";"REQ Jira"
"CT Lujan Dos";"LU21M21P";"27/03/2026";"07/04/2026";"Cerrado";"Normalizado automaticamente por sistema";"https://blc-pg.atlassian.net/browse/REQ-777"
"CT Lujan Dos";"LU21M22P";"27/03/2026";"07/04/2026";"Cerrado";"Normalizado automaticamente por sistema";"https://blc-pg.atlassian.net/browse/REQ-777"
"CT Lujan Dos";"LU21S23P";"27/03/2026";"07/04/2026";"Cerrado";"Normalizado automaticamente por sistema";"https://blc-pg.atlassian.net/browse/REQ-777"
"CT Lujan Dos";"LU21S23C";"27/03/2026";"07/04/2026";"Cerrado";"Normalizado automaticamente por sistema";"https://blc-pg.atlassian.net/browse/REQ-777"
"FV Las Lomas";"LALOM71P";"29/03/2026";"31/03/2026";"Cerrado";"Normalizado";"https://blc-pg.atlassian.net/browse/REQ-752"
"FV Las Lomas";"LALOM71C";"29/03/2026";"31/03/2026";"Cerrado";"Normalizado";"https://blc-pg.atlassian.net/browse/REQ-752"
"CT Matheu";"MA21M21P";"07/04/2026";"-";"Abierto";"Sin lectura detectada";"-"
"CT Matheu";"MA21M22P";"07/04/2026";"-";"Abierto";"Sin lectura detectada";"-"
"CT Matheu";"MA21M23P";"07/04/2026";"-";"Abierto";"Sin lectura detectada";"-"
"CT Matheu";"MA21M24P";"07/04/2026";"-";"Abierto";"Sin lectura detectada";"-"
"CT Matheu";"MA21S25P";"07/04/2026";"-";"Abierto";"Sin lectura detectada";"-"
"CT Matheu";"MA21S25C";"07/04/2026";"-";"Abierto";"Sin lectura detectada";"-"
